AREA,SPECIES,INDIV,LAREA,LSPECIES,LINDIV,RESID1,PREDICT1,RESID2,PREDICT2,RESID3,PREDICT3,RESID4,PREDICT4
516,3,18,2.712649702,0.477121255,1.255272505,-7.196363097,10.1963631,-0.296087245,0.7732085,-166.6083179,184.6083179,-0.433547384,1.688819889
469.06,7,60,2.671228399,0.84509804,1.77815125,-3.165415772,10.16541577,0.087871213,0.757226827,-122.9186384,182.9186384,0.123914654,1.654236596
462.25,6,57,2.66487692,0.77815125,1.755874856,-4.160925971,10.16092597,0.023375029,0.754776221,-125.6735017,182.6735017,0.106941209,1.648933647
938.6,8,100,2.97248055,0.903089987,2,-2.474981322,10.47498132,0.029630377,0.87345961,-99.82047322,199.8204732,0.094243271,1.905756729
1357.15,10,48,3.132627851,1,1.681241237,-0.7509294,10.7509294,0.064750402,0.935249598,-166.8868423,214.8868423,-0.358224978,2.039466216
1773.66,9,118,3.248870372,0.954242509,2.071882007,-2.025532516,11.02553252,-0.025857197,0.980099706,-111.8797784,229.8797784,-0.064636907,2.136518915
1686.01,10,148,3.226860146,1,2.170261715,-0.967745277,10.96774528,0.028392548,0.971607452,-78.72467809,226.7246781,0.052119482,2.118142233
1786.29,11,214,3.251951967,1.041392685,2.330413773,-0.033859417,11.03385942,0.060104,0.981288685,-16.33441527,230.3344153,0.191321987,2.139091787
3090.07,16,225,3.489968318,1.204119983,2.352182518,4.106564461,11.89343554,0.130996923,1.07312306,-52.2660381,277.2660381,0.014367157,2.337815361
3980.12,9,283,3.599896166,0.954242509,2.451786436,-3.480241386,12.48024139,-0.161294255,1.115536765,-26.30479533,309.3047953,0.022190594,2.429595841
4424.84,13,380,3.645897571,1.113943352,2.579783597,0.226556776,12.77344322,-0.019342236,1.133285589,54.68680501,325.313195,0.111780462,2.468003134
4451.68,14,278,3.648523938,1.146128036,2.444044796,1.208861288,12.79113871,0.01182911,1.134298926,-48.27934323,326.2793432,-0.026151133,2.470195929
4982.89,12,338,3.6974813,1.079181246,2.5289167,-1.141363007,13.14136301,-0.074007007,1.153188253,-7.401087208,345.4010872,0.017845504,2.511071196
4450.86,14,274,3.648443934,1.146128036,2.437750563,1.20940191,12.79059809,0.011859978,1.134268057,-52.24982603,326.249826,-0.032378569,2.470129132
5490.74,20,569,3.739630879,1.301029996,2.755112266,6.523813837,13.47618616,0.131579078,1.169450918,205.318049,363.681951,0.208849727,2.546262539
7476.21,22,509,3.873681492,1.342422681,2.706717782,7.214802652,14.78519735,0.121250718,1.221171962,73.84791658,435.1520834,0.04853429,2.658183493
7138.82,15,682,3.853626432,1.176091259,2.833784375,0.437242318,14.56275768,-0.037342815,1.213434074,258.9928032,423.0071968,0.192345165,2.641439209
9149.94,20,600,3.961418246,1.301029996,2.77815125,4.111320207,15.88867979,0.046006367,1.255023628,104.5993585,495.4006415,0.046714969,2.731436281
10133.07,22,978,4.005741043,1.342422681,2.990338855,5.463147146,16.53685285,0.07029789,1.272124791,447.2100395,530.7899605,0.221896777,2.768442077
9287.69,21,363,3.967907711,1.322219295,2.559906625,5.020502269,15.97949773,0.064691822,1.257527473,-137.3591706,500.3591706,-0.176947812,2.736854437
13729.13,15,1402,4.137643017,1.176091259,3.146748014,-3.907718574,18.90771857,-0.146925562,1.323016821,741.7641731,660.2358269,0.268178914,2.878569099
20300.77,24,675,4.307512511,1.380211242,2.829303773,0.759629578,23.24037042,-0.008346702,1.388557944,-221.7924007,896.7924007,-0.191092024,3.020395797
24712.72,25,1159,4.392920549,1.397940009,3.064083436,-1.149148645,26.14914864,-0.023571107,1.421511116,103.3924822,1055.607518,-0.027620867,3.091704303
27144.03,25,1062,4.433674327,1.397940009,3.026124517,-2.752100079,27.75210008,-0.039295227,1.437235236,-81.12636601,1143.126366,-0.099605753,3.12573027
26117.81,24,632,4.416936758,1.380211242,2.800717078,-3.075517981,27.07551798,-0.050566101,1.430777343,-474.1859543,1106.185954,-0.311038734,3.111755812
